Area,Bedrooms,Bathrooms,Floors,Condition,Age,Garage_No,Garage_Yes,Location_Downtown,Location_Rural,Location_Suburban,Location_Urban,Price
4955,1,2,3,3.0,29,0.0,1.0,0.0,0.0,1.0,0.0,1090908
1722,1,2,3,3.0,9,0.0,1.0,0.0,0.0,1.0,0.0,537382
4765,2,5,3,3.0,11,0.0,1.0,0.0,0.0,1.0,0.0,1128083
1347,3,4,1,2.0,38,0.0,1.0,1.0,0.0,0.0,0.0,474170
3034,3,2,1,3.0,17,1.0,0.0,0.0,0.0,0.0,1.0,794002
865,2,3,2,2.0,26,1.0,0.0,0.0,0.0,0.0,1.0,338607
1945,4,4,2,1.0,29,0.0,1.0,0.0,1.0,0.0,0.0,495275
915,2,3,3,1.0,25,1.0,0.0,1.0,0.0,0.0,0.0,387919
2684,5,5,2,1.0,12,0.0,1.0,0.0,1.0,0.0,0.0,688027
3072,1,2,3,2.0,40,0.0,1.0,0.0,1.0,0.0,0.0,698608
3748,1,3,1,2.0,27,1.0,0.0,1.0,0.0,0.0,0.0,894495
1454,6,2,2,2.0,13,0.0,1.0,0.0,1.0,0.0,0.0,489968
2930,4,2,1,2.0,8,0.0,1.0,0.0,0.0,0.0,1.0,778356
4905,1,1,3,1.0,35,1.0,0.0,1.0,0.0,0.0,0.0,1068444
4342,6,3,3,2.0,23,1.0,0.0,0.0,0.0,1.0,0.0,1003858
1717,4,1,2,3.0,35,0.0,1.0,0.0,0.0,0.0,1.0,572888
4317,3,3,2,2.0,31,0.0,1.0,1.0,0.0,0.0,0.0,1077837
4777,4,4,1,1.0,38,0.0,1.0,0.0,1.0,0.0,0.0,953092
1994,3,2,3,2.0,33,0.0,1.0,0.0,1.0,0.0,0.0,521518
1315,2,2,1,1.0,6,0.0,1.0,0.0,0.0,1.0,0.0,419417
1807,4,4,2,3.0,30,1.0,0.0,0.0,0.0,1.0,0.0,541888
4540,1,2,2,3.0,37,0.0,1.0,0.0,1.0,0.0,0.0,922864
3238,1,2,2,0.0,27,1.0,0.0,0.0,0.0,1.0,0.0,649166
2225,3,2,3,0.0,20,1.0,0.0,0.0,1.0,0.0,0.0,488218
2451,5,3,2,0.0,23,0.0,1.0,0.0,0.0,0.0,1.0,651860
1792,6,1,2,1.0,35,0.0,1.0,0.0,0.0,0.0,1.0,518799
2334,4,4,3,3.0,28,1.0,0.0,0.0,0.0,1.0,0.0,686542
3847,1,3,1,2.0,2,1.0,0.0,0.0,0.0,1.0,0.0,850657
3501,5,1,3,1.0,30,1.0,0.0,0.0,0.0,1.0,0.0,820260
603,2,1,2,1.0,18,1.0,0.0,0.0,0.0,1.0,0.0,263774
1832,2,3,1,2.0,41,0.0,1.0,0.0,0.0,0.0,1.0,499036
4212,3,1,2,1.0,13,0.0,1.0,0.0,1.0,0.0,0.0,917158
3449,4,1,1,2.0,18,0.0,1.0,0.0,1.0,0.0,0.0,751040
1271,4,4,2,1.0,27,0.0,1.0,0.0,1.0,0.0,0.0,411246
4995,2,2,3,2.0,9,0.0,1.0,0.0,1.0,0.0,0.0,1114661
1780,3,5,1,1.0,30,1.0,0.0,0.0,0.0,0.0,1.0,500648
3361,6,2,2,2.0,9,0.0,1.0,0.0,0.0,1.0,0.0,832129
3127,3,2,1,3.0,20,1.0,0.0,0.0,0.0,1.0,0.0,729988
3120,5,3,1,1.0,19,0.0,1.0,1.0,0.0,0.0,0.0,857252
877,5,1,2,3.0,1,1.0,0.0,0.0,0.0,0.0,1.0,468579
1403,4,4,2,3.0,20,0.0,1.0,0.0,0.0,0.0,1.0,529327
3114,5,4,3,3.0,37,0.0,1.0,0.0,0.0,0.0,1.0,831487
4602,2,1,1,0.0,8,1.0,0.0,0.0,0.0,1.0,0.0,913165
3716,4,1,1,1.0,23,0.0,1.0,0.0,1.0,0.0,0.0,766912
2234,6,5,3,1.0,24,0.0,1.0,1.0,0.0,0.0,0.0,725623
1056,4,1,3,1.0,31,0.0,1.0,0.0,0.0,0.0,1.0,425971
2274,2,2,2,3.0,36,0.0,1.0,0.0,0.0,0.0,1.0,623240
4911,5,3,3,2.0,36,1.0,0.0,1.0,0.0,0.0,0.0,1149754
4991,6,4,3,2.0,31,1.0,0.0,0.0,1.0,0.0,0.0,1110815
1607,2,1,3,0.0,13,0.0,1.0,0.0,0.0,1.0,0.0,404322
4866,6,5,3,2.0,41,1.0,0.0,0.0,0.0,1.0,0.0,1083445
4553,1,1,1,2.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1007938
4265,1,3,1,2.0,26,0.0,1.0,0.0,1.0,0.0,0.0,901419
4243,2,3,3,1.0,37,0.0,1.0,1.0,0.0,0.0,0.0,1021533
1159,1,2,3,0.0,2,1.0,0.0,0.0,0.0,0.0,1.0,395406
1044,6,1,3,2.0,33,1.0,0.0,1.0,0.0,0.0,0.0,493516
1520,4,3,1,2.0,20,0.0,1.0,0.0,0.0,0.0,1.0,505433
1812,2,4,2,2.0,25,0.0,1.0,1.0,0.0,0.0,0.0,590792
910,2,4,2,3.0,21,1.0,0.0,0.0,1.0,0.0,0.0,328178
3505,3,3,2,2.0,26,1.0,0.0,0.0,0.0,0.0,1.0,817077
4898,2,3,1,1.0,35,1.0,0.0,0.0,0.0,0.0,1.0,1010092
3343,3,2,3,0.0,39,1.0,0.0,1.0,0.0,0.0,0.0,768613
4071,5,1,2,3.0,30,1.0,0.0,0.0,0.0,0.0,1.0,950691
3834,5,3,3,1.0,37,0.0,1.0,1.0,0.0,0.0,0.0,974873
632,2,4,1,2.0,26,1.0,0.0,1.0,0.0,0.0,0.0,382314
4635,1,2,2,3.0,12,1.0,0.0,0.0,0.0,0.0,1.0,1072239
3944,6,5,3,1.0,2,0.0,1.0,0.0,1.0,0.0,0.0,957018
4594,6,1,1,2.0,18,0.0,1.0,0.0,0.0,0.0,1.0,1049041
2852,4,4,2,1.0,18,1.0,0.0,0.0,0.0,0.0,1.0,717429
1601,3,2,3,1.0,6,1.0,0.0,0.0,0.0,0.0,1.0,506732
3111,5,1,3,3.0,39,1.0,0.0,0.0,0.0,0.0,1.0,788837
2455,4,3,2,2.0,21,1.0,0.0,0.0,0.0,0.0,1.0,701844
1078,5,3,3,1.0,5,0.0,1.0,0.0,0.0,0.0,1.0,476559
2931,3,2,3,2.0,9,1.0,0.0,0.0,0.0,0.0,1.0,782494
4951,4,1,3,3.0,34,0.0,1.0,1.0,0.0,0.0,0.0,1178461
4536,2,3,1,1.0,38,0.0,1.0,1.0,0.0,0.0,0.0,999683
2584,6,3,2,1.0,25,1.0,0.0,0.0,1.0,0.0,0.0,597705
3548,1,2,3,2.0,7,0.0,1.0,1.0,0.0,0.0,0.0,962754
3990,4,4,3,1.0,33,0.0,1.0,1.0,0.0,0.0,0.0,977164
1902,5,3,3,1.0,6,1.0,0.0,0.0,0.0,1.0,0.0,569861
2517,2,1,2,0.0,27,0.0,1.0,0.0,0.0,0.0,1.0,590639
4340,3,3,2,2.0,6,1.0,0.0,0.0,0.0,1.0,0.0,989826
2827,6,4,3,0.0,25,1.0,0.0,0.0,0.0,1.0,0.0,668313
4017,1,4,3,3.0,37,1.0,0.0,0.0,0.0,0.0,1.0,967071
4251,3,4,1,2.0,24,0.0,1.0,1.0,0.0,0.0,0.0,1055761
3384,2,2,2,2.0,3,0.0,1.0,0.0,0.0,1.0,0.0,856611
2978,5,3,2,3.0,29,0.0,1.0,0.0,0.0,1.0,0.0,771511
970,5,3,2,3.0,18,1.0,0.0,1.0,0.0,0.0,0.0,514799
1653,2,5,3,2.0,30,0.0,1.0,0.0,0.0,0.0,1.0,545888
740,3,3,3,2.0,17,1.0,0.0,0.0,0.0,0.0,1.0,395242
4256,6,1,1,2.0,5,1.0,0.0,0.0,0.0,1.0,0.0,959579
2130,5,3,1,2.0,13,0.0,1.0,0.0,0.0,0.0,1.0,664125
974,1,1,3,1.0,33,1.0,0.0,0.0,0.0,0.0,1.0,343411
1134,2,1,3,1.0,34,1.0,0.0,0.0,1.0,0.0,0.0,304574
1407,1,3,3,3.0,20,0.0,1.0,0.0,0.0,0.0,1.0,533297
896,5,1,3,2.0,30,0.0,1.0,0.0,0.0,0.0,1.0,396943
2962,3,1,3,2.0,27,1.0,0.0,1.0,0.0,0.0,0.0,764135
3494,3,2,1,2.0,29,1.0,0.0,1.0,0.0,0.0,0.0,835463
4736,4,5,1,2.0,25,0.0,1.0,0.0,0.0,1.0,0.0,1068187
3341,3,4,2,1.0,3,1.0,0.0,0.0,0.0,0.0,1.0,834345
4771,4,1,2,1.0,36,0.0,1.0,0.0,0.0,0.0,1.0,1028495
616,3,3,2,2.0,7,0.0,1.0,0.0,0.0,1.0,0.0,337979
1520,3,3,3,2.0,4,1.0,0.0,1.0,0.0,0.0,0.0,606621
2472,3,3,1,2.0,22,0.0,1.0,0.0,1.0,0.0,0.0,578049
3217,4,5,2,3.0,23,0.0,1.0,0.0,1.0,0.0,0.0,830524
4537,1,1,3,3.0,37,1.0,0.0,1.0,0.0,0.0,0.0,1046172
3634,1,2,1,1.0,8,1.0,0.0,1.0,0.0,0.0,0.0,886953
2147,4,2,1,2.0,39,0.0,1.0,0.0,1.0,0.0,0.0,541223
2554,2,5,2,1.0,2,0.0,1.0,0.0,1.0,0.0,0.0,669873
1035,2,3,3,3.0,20,1.0,0.0,0.0,0.0,0.0,1.0,465034
1928,4,3,3,2.0,9,1.0,0.0,0.0,1.0,0.0,0.0,553117
4777,1,3,1,2.0,41,1.0,0.0,1.0,0.0,0.0,0.0,1061499
4946,6,4,3,1.0,19,1.0,0.0,0.0,1.0,0.0,0.0,1105035
2601,5,3,3,2.0,26,1.0,0.0,0.0,0.0,0.0,1.0,749054
2646,2,3,3,2.0,14,0.0,1.0,1.0,0.0,0.0,0.0,758916
4144,2,1,3,1.0,25,0.0,1.0,0.0,0.0,0.0,1.0,959784
2812,2,1,1,3.0,11,1.0,0.0,0.0,0.0,1.0,0.0,710312
1139,3,1,2,1.0,13,1.0,0.0,0.0,0.0,0.0,1.0,375969
4174,5,1,2,1.0,24,0.0,1.0,0.0,1.0,0.0,0.0,916336
1488,4,1,1,1.0,3,0.0,1.0,0.0,0.0,0.0,1.0,502584
645,2,4,3,1.0,12,0.0,1.0,0.0,1.0,0.0,0.0,321248
4981,4,3,1,2.0,13,1.0,0.0,1.0,0.0,0.0,0.0,1176230
3233,5,2,1,2.0,9,1.0,0.0,0.0,0.0,0.0,1.0,819580
4498,6,3,3,1.0,41,0.0,1.0,1.0,0.0,0.0,0.0,1089822
3152,2,2,2,2.0,11,1.0,0.0,1.0,0.0,0.0,0.0,832994
4447,2,3,1,0.0,36,0.0,1.0,0.0,0.0,0.0,1.0,917733
1469,1,5,1,0.0,1,0.0,1.0,0.0,0.0,0.0,1.0,476543
3899,1,5,3,3.0,24,1.0,0.0,0.0,0.0,0.0,1.0,956121
2468,4,3,3,1.0,39,0.0,1.0,0.0,1.0,0.0,0.0,602571
3983,1,5,3,2.0,39,0.0,1.0,0.0,1.0,0.0,0.0,871459
2496,3,3,3,1.0,9,0.0,1.0,1.0,0.0,0.0,0.0,767388
736,4,5,2,3.0,17,0.0,1.0,0.0,1.0,0.0,0.0,392490
2554,1,3,2,2.0,20,1.0,0.0,0.0,0.0,1.0,0.0,626101
4124,4,4,3,2.0,19,0.0,1.0,1.0,0.0,0.0,0.0,1101200
3923,1,4,2,2.0,35,0.0,1.0,0.0,0.0,0.0,1.0,894654
3943,3,2,1,2.0,36,1.0,0.0,1.0,0.0,0.0,0.0,910364
3850,3,4,1,2.0,34,0.0,1.0,0.0,0.0,1.0,0.0,879930
1360,6,4,2,1.0,21,1.0,0.0,0.0,0.0,1.0,0.0,443109
2459,3,1,2,3.0,26,0.0,1.0,0.0,1.0,0.0,0.0,627914
3557,5,3,2,1.0,4,0.0,1.0,0.0,1.0,0.0,0.0,838356
1443,1,2,3,0.0,4,0.0,1.0,0.0,0.0,1.0,0.0,441048
4597,5,5,3,2.0,6,0.0,1.0,0.0,1.0,0.0,0.0,1081240
2085,4,1,1,3.0,5,1.0,0.0,0.0,0.0,0.0,1.0,656584
3426,1,5,3,3.0,3,1.0,0.0,0.0,0.0,0.0,1.0,880855
4005,2,4,2,0.0,29,1.0,0.0,0.0,1.0,0.0,0.0,781574
1577,4,3,1,1.0,16,0.0,1.0,0.0,0.0,0.0,1.0,506230
2167,3,3,3,1.0,36,0.0,1.0,0.0,1.0,0.0,0.0,520737
4822,2,1,1,1.0,4,1.0,0.0,0.0,0.0,1.0,0.0,1028702
1041,2,4,1,2.0,17,0.0,1.0,0.0,0.0,0.0,1.0,406369
4633,4,3,1,2.0,16,1.0,0.0,0.0,0.0,0.0,1.0,1063873
787,6,3,3,2.0,14,0.0,1.0,0.0,0.0,0.0,1.0,428851
2039,6,1,1,3.0,2,1.0,0.0,1.0,0.0,0.0,0.0,701034
3912,2,5,3,2.0,8,1.0,0.0,1.0,0.0,0.0,0.0,1017021
2564,4,1,2,2.0,20,0.0,1.0,0.0,0.0,1.0,0.0,665007
1767,4,4,2,2.0,37,1.0,0.0,1.0,0.0,0.0,0.0,596474
4964,2,3,3,0.0,39,0.0,1.0,0.0,1.0,0.0,0.0,988737
3464,3,1,1,3.0,8,0.0,1.0,0.0,1.0,0.0,0.0,795651
887,5,3,2,2.0,10,1.0,0.0,0.0,0.0,1.0,0.0,405402
2296,6,2,2,3.0,28,1.0,0.0,0.0,0.0,0.0,1.0,653370
3457,4,2,2,3.0,13,1.0,0.0,0.0,0.0,1.0,0.0,828874
3864,3,2,1,3.0,24,0.0,1.0,0.0,0.0,1.0,0.0,894563
1677,2,4,3,3.0,12,0.0,1.0,0.0,1.0,0.0,0.0,523350
3537,1,5,2,2.0,11,1.0,0.0,0.0,1.0,0.0,0.0,818399
1858,1,2,1,2.0,40,1.0,0.0,0.0,0.0,1.0,0.0,440148
1554,2,3,2,3.0,26,0.0,1.0,1.0,0.0,0.0,0.0,576842
3818,4,3,1,2.0,15,1.0,0.0,0.0,1.0,0.0,0.0,854786
4552,4,3,3,3.0,14,0.0,1.0,1.0,0.0,0.0,0.0,1157464
2495,5,4,1,3.0,15,0.0,1.0,0.0,1.0,0.0,0.0,645152
1105,4,5,2,1.0,19,0.0,1.0,0.0,0.0,1.0,0.0,442033
1536,4,5,2,1.0,1,1.0,0.0,0.0,0.0,0.0,1.0,527969
1051,2,2,2,1.0,24,1.0,0.0,0.0,0.0,0.0,1.0,351352
3674,1,2,2,2.0,14,1.0,0.0,0.0,0.0,0.0,1.0,862836
3898,5,2,2,1.0,9,1.0,0.0,0.0,0.0,1.0,0.0,911673
1323,3,5,1,2.0,35,1.0,0.0,0.0,0.0,1.0,0.0,411266
2270,6,3,1,1.0,35,1.0,0.0,0.0,1.0,0.0,0.0,543269
3674,2,1,2,1.0,40,1.0,0.0,1.0,0.0,0.0,0.0,825378
1164,5,5,3,2.0,29,0.0,1.0,0.0,0.0,1.0,0.0,430757
2647,1,2,3,3.0,37,0.0,1.0,0.0,0.0,0.0,1.0,724226
3693,4,5,1,1.0,11,1.0,0.0,0.0,0.0,1.0,0.0,854803
1660,1,4,1,2.0,13,0.0,1.0,0.0,0.0,1.0,0.0,520031
1621,1,4,2,1.0,32,1.0,0.0,0.0,1.0,0.0,0.0,412066
2982,1,2,1,1.0,7,0.0,1.0,0.0,0.0,1.0,0.0,702939
2286,4,1,3,2.0,17,0.0,1.0,0.0,0.0,0.0,1.0,648262
2547,1,3,1,1.0,31,1.0,0.0,1.0,0.0,0.0,0.0,663821
4613,5,3,2,1.0,38,0.0,1.0,0.0,1.0,0.0,0.0,966644
3920,4,2,2,2.0,39,1.0,0.0,1.0,0.0,0.0,0.0,941935
2926,4,3,1,2.0,40,0.0,1.0,0.0,0.0,0.0,1.0,704354
2936,2,2,2,2.0,28,1.0,0.0,0.0,0.0,1.0,0.0,657345
3578,4,2,3,1.0,26,1.0,0.0,0.0,1.0,0.0,0.0,772497
3116,4,3,1,0.0,32,0.0,1.0,1.0,0.0,0.0,0.0,782656
4426,5,4,2,2.0,24,1.0,0.0,1.0,0.0,0.0,0.0,1124653
4335,4,4,3,1.0,27,0.0,1.0,0.0,0.0,1.0,0.0,993437
3209,1,3,3,1.0,22,0.0,1.0,0.0,1.0,0.0,0.0,709402
1790,3,3,2,0.0,22,0.0,1.0,0.0,0.0,0.0,1.0,498552
4188,3,5,1,1.0,10,0.0,1.0,0.0,0.0,0.0,1.0,1023495
2161,2,3,2,2.0,40,0.0,1.0,0.0,0.0,1.0,0.0,559687
2039,6,1,1,2.0,30,1.0,0.0,0.0,0.0,0.0,1.0,604639
3047,4,5,2,3.0,37,0.0,1.0,0.0,0.0,0.0,1.0,832871
4465,1,5,3,3.0,12,0.0,1.0,0.0,1.0,0.0,0.0,999624
2489,2,4,2,2.0,1,1.0,0.0,0.0,0.0,0.0,1.0,712571
2043,6,1,1,1.0,20,1.0,0.0,1.0,0.0,0.0,0.0,613484
4972,3,5,1,1.0,7,0.0,1.0,0.0,0.0,0.0,1.0,1142216
4172,5,3,2,1.0,7,0.0,1.0,0.0,1.0,0.0,0.0,922177
1510,1,4,1,1.0,15,1.0,0.0,0.0,0.0,0.0,1.0,470471
3886,4,2,1,2.0,19,0.0,1.0,1.0,0.0,0.0,0.0,1000462
3811,5,4,3,2.0,14,0.0,1.0,1.0,0.0,0.0,0.0,1043385
684,2,4,3,2.0,15,1.0,0.0,1.0,0.0,0.0,0.0,431653
3533,6,5,2,3.0,1,1.0,0.0,0.0,0.0,0.0,1.0,952372
4489,5,4,2,0.0,17,0.0,1.0,0.0,0.0,1.0,0.0,1000434
2708,3,5,1,3.0,29,0.0,1.0,0.0,0.0,1.0,0.0,724156
3160,2,2,3,3.0,24,1.0,0.0,1.0,0.0,0.0,0.0,882446
883,5,2,1,1.0,25,0.0,1.0,0.0,0.0,1.0,0.0,314089
4204,1,4,3,1.0,39,1.0,0.0,1.0,0.0,0.0,0.0,996704
1301,3,1,3,2.0,3,1.0,0.0,0.0,1.0,0.0,0.0,428195
2778,3,5,2,3.0,9,0.0,1.0,0.0,1.0,0.0,0.0,745141
1355,2,5,2,1.0,16,1.0,0.0,0.0,1.0,0.0,0.0,401257
2020,2,5,1,3.0,27,0.0,1.0,1.0,0.0,0.0,0.0,667862
2974,5,1,1,0.0,38,1.0,0.0,1.0,0.0,0.0,0.0,684064
4964,1,3,3,2.0,17,0.0,1.0,0.0,0.0,1.0,0.0,1085758
3086,6,1,3,1.0,4,1.0,0.0,0.0,0.0,0.0,1.0,791684
4562,4,2,2,2.0,36,1.0,0.0,1.0,0.0,0.0,0.0,1074340
4807,1,3,2,3.0,34,0.0,1.0,0.0,0.0,0.0,1.0,1099592
2235,2,4,1,1.0,10,0.0,1.0,0.0,0.0,1.0,0.0,611276
3480,4,1,3,0.0,36,0.0,1.0,1.0,0.0,0.0,0.0,852742
2883,1,2,3,3.0,17,1.0,0.0,1.0,0.0,0.0,0.0,779764
1879,1,2,3,1.0,39,1.0,0.0,0.0,0.0,1.0,0.0,468994
2915,3,2,2,3.0,2,1.0,0.0,0.0,1.0,0.0,0.0,721286
2724,3,4,1,2.0,23,1.0,0.0,1.0,0.0,0.0,0.0,740731
3549,5,2,2,2.0,20,0.0,1.0,0.0,0.0,1.0,0.0,836147
1638,6,5,1,2.0,30,0.0,1.0,0.0,0.0,0.0,1.0,551443
749,4,3,1,0.0,38,0.0,1.0,1.0,0.0,0.0,0.0,343820
1510,5,3,1,2.0,7,0.0,1.0,1.0,0.0,0.0,0.0,594948
3277,5,1,3,3.0,37,1.0,0.0,0.0,1.0,0.0,0.0,780163
1434,3,2,3,2.0,17,1.0,0.0,0.0,0.0,0.0,1.0,484076
752,6,3,1,3.0,8,0.0,1.0,0.0,0.0,0.0,1.0,445707
4476,3,2,1,2.0,41,1.0,0.0,0.0,1.0,0.0,0.0,880407
2306,4,4,1,1.0,3,1.0,0.0,1.0,0.0,0.0,0.0,715787
3404,5,2,1,0.0,23,0.0,1.0,1.0,0.0,0.0,0.0,810118
984,3,4,1,2.0,14,0.0,1.0,0.0,0.0,1.0,0.0,402599
3410,4,3,3,2.0,41,0.0,1.0,0.0,0.0,1.0,0.0,828614
3890,4,2,1,0.0,35,0.0,1.0,0.0,1.0,0.0,0.0,747410
1814,3,3,3,1.0,36,1.0,0.0,0.0,1.0,0.0,0.0,456738
1804,1,1,1,0.0,20,0.0,1.0,0.0,1.0,0.0,0.0,384694
2060,1,5,3,2.0,41,0.0,1.0,0.0,1.0,0.0,0.0,512431
4874,1,4,2,1.0,30,1.0,0.0,0.0,1.0,0.0,0.0,973968
4347,6,1,1,1.0,40,0.0,1.0,0.0,1.0,0.0,0.0,893322
4849,5,5,3,2.0,19,1.0,0.0,0.0,0.0,0.0,1.0,1161403
3015,2,1,3,2.0,33,1.0,0.0,1.0,0.0,0.0,0.0,786832
1310,4,5,2,1.0,12,0.0,1.0,1.0,0.0,0.0,0.0,539139
3263,5,5,1,3.0,10,1.0,0.0,0.0,0.0,0.0,1.0,861983
4213,5,1,1,1.0,18,0.0,1.0,0.0,1.0,0.0,0.0,908641
1634,5,2,3,2.0,21,1.0,0.0,1.0,0.0,0.0,0.0,592687
1330,3,1,1,1.0,23,0.0,1.0,0.0,1.0,0.0,0.0,338120
4527,3,4,2,0.0,5,1.0,0.0,0.0,0.0,0.0,1.0,994594
2580,3,3,3,3.0,19,0.0,1.0,0.0,0.0,1.0,0.0,725045
4625,2,3,2,1.0,22,1.0,0.0,0.0,0.0,1.0,0.0,1008145
3047,6,2,3,1.0,38,1.0,0.0,0.0,1.0,0.0,0.0,687191
2713,1,4,3,2.0,28,1.0,0.0,0.0,1.0,0.0,0.0,629210
1920,6,2,3,2.0,2,0.0,1.0,0.0,0.0,0.0,1.0,668889
1272,2,3,3,2.0,4,0.0,1.0,1.0,0.0,0.0,0.0,526708
3376,6,5,2,1.0,20,0.0,1.0,0.0,1.0,0.0,0.0,825451
1548,5,2,3,1.0,22,1.0,0.0,0.0,1.0,0.0,0.0,416961
1140,6,5,1,1.0,21,1.0,0.0,0.0,1.0,0.0,0.0,359702
2049,1,1,2,1.0,13,1.0,0.0,0.0,1.0,0.0,0.0,462895
2077,4,4,3,2.0,28,0.0,1.0,0.0,0.0,1.0,0.0,622806
1648,5,4,1,1.0,26,1.0,0.0,1.0,0.0,0.0,0.0,533185
2649,6,3,1,3.0,9,0.0,1.0,1.0,0.0,0.0,0.0,852702
4273,6,2,2,2.0,35,1.0,0.0,0.0,0.0,1.0,0.0,983993
1400,2,1,2,2.0,22,1.0,0.0,0.0,0.0,0.0,1.0,429310
3296,2,5,1,0.0,7,0.0,1.0,0.0,1.0,0.0,0.0,701889
4695,3,4,1,3.0,23,1.0,0.0,0.0,1.0,0.0,0.0,1038273
3691,6,5,3,0.0,39,1.0,0.0,0.0,0.0,1.0,0.0,829227
2962,2,2,3,3.0,19,0.0,1.0,0.0,0.0,1.0,0.0,762538
1096,6,2,3,3.0,26,1.0,0.0,0.0,0.0,0.0,1.0,482175
3445,4,3,2,0.0,2,1.0,0.0,1.0,0.0,0.0,0.0,879355
2850,4,1,1,2.0,10,0.0,1.0,0.0,1.0,0.0,0.0,689618
